Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.89-192.168.137.233-51817-80-6,192.168.137.89,51817,192.168.137.233,80,6,17/10/2022 10:22:17 AM,7008350,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5707477508971441,2336116.6666666665,1532633.3006581622,4007623.0,996861.0,7008350.0,2336116.6666666665,1532633.3006581622,4007623.0,996861.0,0,0,0,0,0,0,0,0,0,160,0,0.5707477508971441,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,14600,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.137.150-192.168.137.1-53083-53-17,192.168.137.150,53083,192.168.137.1,53,17,17/10/2022 10:37:20 AM,18979,1,1,60.0,146.0,60.0,60.0,60.0,0.0,146.0,146.0,146.0,0.0,10854.101902102324,105.3796301174983,18979.0,0.0,18979.0,18979.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,52.68981505874915,52.68981505874915,60.0,146.0,88.66666666666667,49.652123150307816,2465.3333333333335,0,0,0,0,0,0,0,0,1.0,133.0,60.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.137.140-54.191.3.239-23453-32100-17,192.168.137.140,23453,54.191.3.239,32100,17,17/10/2022 10:25:27 AM,99740,1,1,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,240.62562662923602,20.052135552436336,99740.0,0.0,99740.0,99740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.026067776218168,10.026067776218168,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.137.1-192.168.137.173-53-58648-17,192.168.137.1,53,192.168.137.173,58648,17,17/10/2022 10:34:52 AM,12688,1,1,52.0,36.0,52.0,52.0,52.0,0.0,36.0,36.0,36.0,0.0,6935.687263556116,157.62925598991174,12688.0,0.0,12688.0,12688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,78.81462799495587,78.81462799495587,36.0,52.0,46.666666666666664,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,70.0,52.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.137.147-114.114.114.114-43761-53-17,192.168.137.147,43761,114.114.114.114,53,17,17/10/2022 10:48:21 AM,10044351,2,2,54.0,118.0,27.0,27.0,27.0,0.0,59.0,59.0,59.0,0.0,17.124053112042777,0.3982337933033204,3348117.0,5743325.996225619,9979933.0,24732.0,1.0019619E7,1.0019619E7,0.0,1.0019619E7,1.0019619E7,1.0004665E7,1.0004665E7,0.0,1.0004665E7,1.0004665E7,0,0,0,0,16,16,0.1991168966516602,0.1991168966516602,27.0,59.0,39.8,17.527121840165314,307.19999999999993,0,0,0,0,0,0,0,0,1.0,49.75,27.0,59.0,0,0,0,0,0,0,2,54,2,118,0,0,1,8,39686.0,0.0,39686.0,39686.0,9979933.0,0.0,9979933.0,9979933.0,NeedManualLabel
192.168.137.1-192.168.137.173-53-51696-17,192.168.137.1,53,192.168.137.173,51696,17,17/10/2022 10:27:32 AM,14047,1,1,52.0,36.0,52.0,52.0,52.0,0.0,36.0,36.0,36.0,0.0,6264.682850430697,142.37915569160674,14047.0,0.0,14047.0,14047.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,71.18957784580337,71.18957784580337,36.0,52.0,46.666666666666664,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,70.0,52.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.137.173-47.112.162.49-17681-32100-17,192.168.137.173,17681,47.112.162.49,32100,17,17/10/2022 10:40:07 AM,251978,1,1,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,95.24641040090802,7.9372008667423355,251978.0,0.0,251978.0,251978.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.9686004333711677,3.9686004333711677,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
35.175.71.102-192.168.137.206-443-47985-6,35.175.71.102,443,192.168.137.206,47985,6,17/10/2022 10:50:18 AM,30041515,6,4,138.0,92.0,46.0,0.0,23.0,25.19523764523764,46.0,0.0,23.0,26.558112382722786,7.656071939114922,0.33287269300499656,3337946.111111111,6760070.607327235,1.8073661E7,0.0,3.0041515E7,6008303.0,8476761.285948485,1.8090147E7,0.0,1.1894492E7,3964830.666666667,6799646.317390731,1.1816256E7,0.0,1,0,0,0,192,128,0.19972361580299794,0.13314907720199864,0.0,46.0,25.090909090909093,24.022716521886306,577.0909090909092,0,0,0,5,10,0,0,0,0.0,27.6,23.0,23.0,0,0,0,0,0,0,3,69,2,46,7885,7885,2,32,47365.0,43658.186884019815,78236.0,16494.0,1.49359885E7,4437339.003785095,1.8073661E7,1.1798316E7,NeedManualLabel
192.168.137.163-47.254.83.84-57921-7788-17,192.168.137.163,57921,47.254.83.84,7788,17,14/10/2022 01:18:54 PM,286828,1,1,64.0,16.0,64.0,64.0,64.0,0.0,16.0,16.0,16.0,0.0,278.9127979137322,6.972819947843306,286828.0,0.0,286828.0,286828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.486409973921653,3.486409973921653,16.0,64.0,48.0,27.712812921102035,768.0,0,0,0,0,0,0,0,0,1.0,72.0,64.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.137.163-47.254.83.84-53344-7788-17,192.168.137.163,53344,47.254.83.84,7788,17,17/10/2022 10:48:11 AM,252423,1,1,64.0,16.0,64.0,64.0,64.0,0.0,16.0,16.0,16.0,0.0,316.9283306196345,7.923208265490862,252423.0,0.0,252423.0,252423.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.961604132745431,3.961604132745431,16.0,64.0,48.0,27.712812921102035,768.0,0,0,0,0,0,0,0,0,1.0,72.0,64.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
