"Time","Source","No.","Destination","Protocol","Length","Info"
"0.000000","192.167.8.166","1","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"0.784682","192.167.8.166","2","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"1.169060","VMware_8a:5c:e6","3","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"2.167949","VMware_8a:5c:e6","4","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"3.170095","VMware_8a:5c:e6","5","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"8.846485","VMware_8a:5c:e6","6","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"9.848273","VMware_8a:5c:e6","7","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"10.850213","VMware_8a:5c:e6","8","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"16.530105","VMware_8a:5c:e6","9","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"17.532040","VMware_8a:5c:e6","10","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"18.534050","VMware_8a:5c:e6","11","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"24.466177","VMware_8a:5c:e6","12","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"25.468158","VMware_8a:5c:e6","13","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"26.470100","VMware_8a:5c:e6","14","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"28.757397","VMware_8a:a0:c6","15","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"28.757405","VMware_8a:a0:c6","16","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.118205","VMware_8a:a0:c6","17","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.120130","VMware_8a:a0:c6","18","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.120131","VMware_8a:a0:c6","19","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.120317","VMware_8a:a0:c6","20","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.151733","VMware_8a:a0:c6","21","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.151738","VMware_8a:a0:c6","22","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.152383","VMware_8a:a0:c6","23","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"29.323471","VMware_8a:5c:e6","24","Broadcast","ARP","60","Who has 192.167.0.1? Tell 0.0.0.0"
"29.757136","VMware_8a:a0:c6","25","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
